year,field,question_number,question_key,field_name,letters_only,chars_total
2018,CH,77,2018	CH_77,question_itself_translated,60,72
2018,CH,77,2018	CH_77,question_option_A_translated,20,25
2018,CH,77,2018	CH_77,question_option_B_translated,30,35
2018,CH,77,2018	CH_77,question_option_C_translated,30,37
2018,CH,77,2018	CH_77,question_option_D_translated,29,35
2018,CH,77,2018	CH_77,question_option_E_translated,30,35
2019,CH,56,2019	CH_56,question_text_translated,496,621
2019,CH,56,2019	CH_56,question_itself_translated,113,129
2019,CH,56,2019	CH_56,question_option_A_translated,21,23
2019,CH,56,2019	CH_56,question_option_B_translated,12,14
2019,CH,56,2019	CH_56,question_option_C_translated,25,27
2019,CH,56,2019	CH_56,question_option_D_translated,21,23
2019,CH,56,2019	CH_56,question_option_E_translated,13,15
2019,CH,64,2019	CH_64,question_text_translated,522,685
2019,CH,64,2019	CH_64,question_itself_translated,99,117
2019,CH,64,2019	CH_64,question_option_A_translated,21,24
2019,CH,64,2019	CH_64,question_option_B_translated,19,22
2019,CH,64,2019	CH_64,question_option_C_translated,19,21
2019,CH,64,2019	CH_64,question_option_D_translated,21,24
2019,CH,64,2019	CH_64,question_option_E_translated,29,32
2019,CH,65,2019	CH_65,question_text_translated,441,565
2019,CH,65,2019	CH_65,question_itself_translated,88,106
2019,CH,65,2019	CH_65,question_option_A_translated,34,39
2019,CH,65,2019	CH_65,question_option_B_translated,31,36
2019,CH,65,2019	CH_65,question_option_C_translated,33,39
2019,CH,65,2019	CH_65,question_option_D_translated,34,39
2019,CH,65,2019	CH_65,question_option_E_translated,37,42
2020,CH,56,2020	CH_56,question_text_translated,243,315
2020,CH,56,2020	CH_56,question_itself_translated,106,124
2020,CH,56,2020	CH_56,question_option_A_translated,25,28
2020,CH,56,2020	CH_56,question_option_B_translated,22,27
2020,CH,56,2020	CH_56,question_option_C_translated,26,30
2020,CH,56,2020	CH_56,question_option_D_translated,32,36
2020,CH,56,2020	CH_56,question_option_E_translated,25,29
2020,CH,59,2020	CH_59,question_text_translated,439,553
2020,CH,59,2020	CH_59,question_itself_translated,91,105
2020,CH,59,2020	CH_59,question_option_A_translated,10,12
2020,CH,59,2020	CH_59,question_option_B_translated,16,19
2020,CH,59,2020	CH_59,question_option_C_translated,26,30
2020,CH,59,2020	CH_59,question_option_D_translated,29,32
2020,CH,59,2020	CH_59,question_option_E_translated,18,21
2020,CH,70,2020	CH_70,question_text_translated,391,492
2020,CH,70,2020	CH_70,question_itself_translated,85,104
2020,CH,70,2020	CH_70,question_option_A_translated,24,28
2020,CH,70,2020	CH_70,question_option_B_translated,23,27
2020,CH,70,2020	CH_70,question_option_C_translated,33,38
2020,CH,70,2020	CH_70,question_option_D_translated,34,38
2020,CH,70,2020	CH_70,question_option_E_translated,33,38
2020,CH,76,2020	CH_76,question_text_translated,468,579
2020,CH,76,2020	CH_76,question_itself_translated,74,88
2020,CH,76,2020	CH_76,question_option_A_translated,15,19
2020,CH,76,2020	CH_76,question_option_B_translated,30,34
2020,CH,76,2020	CH_76,question_option_C_translated,23,26
2020,CH,76,2020	CH_76,question_option_D_translated,38,42
2020,CH,76,2020	CH_76,question_option_E_translated,31,35
2020,CH,77,2020	CH_77,question_text_translated,337,433
2020,CH,77,2020	CH_77,question_itself_translated,114,135
2020,CH,77,2020	CH_77,question_option_A_translated,39,48
2020,CH,77,2020	CH_77,question_option_B_translated,56,70
2020,CH,77,2020	CH_77,question_option_C_translated,51,61
2020,CH,77,2020	CH_77,question_option_D_translated,47,57
2020,CH,77,2020	CH_77,question_option_E_translated,54,65
2020,CH,78,2020	CH_78,question_text_translated,222,292
2020,CH,78,2020	CH_78,question_itself_translated,83,99
2020,CH,78,2020	CH_78,question_option_A_translated,22,26
2020,CH,78,2020	CH_78,question_option_B_translated,27,31
2020,CH,78,2020	CH_78,question_option_C_translated,28,33
2020,CH,78,2020	CH_78,question_option_D_translated,28,32
2020,CH,78,2020	CH_78,question_option_E_translated,30,34
2020,CH,82,2020	CH_82,question_text_translated,540,692
2020,CH,82,2020	CH_82,question_itself_translated,99,116
2020,CH,82,2020	CH_82,question_option_A_translated,16,19
2020,CH,82,2020	CH_82,question_option_B_translated,11,13
2020,CH,82,2020	CH_82,question_option_C_translated,17,19
2020,CH,82,2020	CH_82,question_option_D_translated,17,19
2020,CH,82,2020	CH_82,question_option_E_translated,15,17
2020,CH,84,2020	CH_84,question_text_translated,352,444
2020,CH,84,2020	CH_84,question_itself_translated,65,75
2020,CH,84,2020	CH_84,question_option_A_translated,13,15
2020,CH,84,2020	CH_84,question_option_B_translated,19,21
2020,CH,84,2020	CH_84,question_option_C_translated,19,21
2020,CH,84,2020	CH_84,question_option_D_translated,17,19
2020,CH,84,2020	CH_84,question_option_E_translated,11,13
2021,CH,46,2021	CH_46,question_text_translated,436,555
2021,CH,46,2021	CH_46,question_itself_translated,76,89
2021,CH,46,2021	CH_46,question_option_A_translated,23,27
2021,CH,46,2021	CH_46,question_option_B_translated,26,30
2021,CH,46,2021	CH_46,question_option_C_translated,27,31
2021,CH,46,2021	CH_46,question_option_D_translated,36,40
2021,CH,46,2021	CH_46,question_option_E_translated,26,30
2021,CH,51,2021	CH_51,question_text_translated,375,454
2021,CH,51,2021	CH_51,question_itself_translated,73,88
2021,CH,51,2021	CH_51,question_option_A_translated,29,33
2021,CH,51,2021	CH_51,question_option_B_translated,21,24
2021,CH,51,2021	CH_51,question_option_C_translated,24,28
2021,CH,51,2021	CH_51,question_option_D_translated,28,32
2021,CH,51,2021	CH_51,question_option_E_translated,30,34
2021,CH,57,2021	CH_57,question_text_translated,346,423
2021,CH,57,2021	CH_57,question_itself_translated,78,93
2021,CH,57,2021	CH_57,question_option_A_translated,23,26
2021,CH,57,2021	CH_57,question_option_B_translated,31,34
2021,CH,57,2021	CH_57,question_option_C_translated,35,38
2021,CH,57,2021	CH_57,question_option_D_translated,34,37
2021,CH,57,2021	CH_57,question_option_E_translated,35,39
2021,CH,65,2021	CH_65,question_text_translated,396,498
2021,CH,65,2021	CH_65,question_itself_translated,62,74
2021,CH,65,2021	CH_65,question_option_A_translated,20,23
2021,CH,65,2021	CH_65,question_option_B_translated,33,42
2021,CH,65,2021	CH_65,question_option_C_translated,32,37
2021,CH,65,2021	CH_65,question_option_D_translated,28,33
2021,CH,65,2021	CH_65,question_option_E_translated,27,31
2021,CH,76,2021	CH_76,question_text_translated,449,568
2021,CH,76,2021	CH_76,question_itself_translated,134,159
2021,CH,76,2021	CH_76,question_option_A_translated,11,13
2021,CH,76,2021	CH_76,question_option_B_translated,18,20
2021,CH,76,2021	CH_76,question_option_C_translated,20,24
2021,CH,76,2021	CH_76,question_option_D_translated,17,19
2021,CH,76,2021	CH_76,question_option_E_translated,20,22
2021,CH,83,2021	CH_83,question_text_translated,756,955
2021,CH,83,2021	CH_83,question_itself_translated,75,91
2021,CH,83,2021	CH_83,question_option_A_translated,23,27
2021,CH,83,2021	CH_83,question_option_B_translated,32,37
2021,CH,83,2021	CH_83,question_option_C_translated,27,31
2021,CH,83,2021	CH_83,question_option_D_translated,32,40
2021,CH,83,2021	CH_83,question_option_E_translated,34,38
2021,CH,86,2021	CH_86,question_text_translated,350,443
2021,CH,86,2021	CH_86,question_itself_translated,98,114
2021,CH,86,2021	CH_86,question_option_A_translated,35,41
2021,CH,86,2021	CH_86,question_option_B_translated,36,42
2021,CH,86,2021	CH_86,question_option_C_translated,24,27
2021,CH,86,2021	CH_86,question_option_D_translated,28,32
2021,CH,86,2021	CH_86,question_option_E_translated,33,38
2022,CH,47,2022	CH_47,question_text_translated,554,704
2022,CH,47,2022	CH_47,question_itself_translated,77,92
2022,CH,47,2022	CH_47,question_option_A_translated,22,25
2022,CH,47,2022	CH_47,question_option_B_translated,19,21
2022,CH,47,2022	CH_47,question_option_C_translated,25,28
2022,CH,47,2022	CH_47,question_option_D_translated,22,25
2022,CH,47,2022	CH_47,question_option_E_translated,25,28
2022,CH,51,2022	CH_51,question_text_translated,591,727
2022,CH,51,2022	CH_51,question_itself_translated,80,96
2022,CH,51,2022	CH_51,question_option_A_translated,19,21
2022,CH,51,2022	CH_51,question_option_B_translated,17,20
2022,CH,51,2022	CH_51,question_option_C_translated,18,21
2022,CH,51,2022	CH_51,question_option_D_translated,22,25
2022,CH,51,2022	CH_51,question_option_E_translated,32,35
2022,CH,60,2022	CH_60,question_text_translated,548,676
2022,CH,60,2022	CH_60,question_itself_translated,114,136
2022,CH,60,2022	CH_60,question_option_A_translated,48,55
2022,CH,60,2022	CH_60,question_option_B_translated,47,54
2022,CH,60,2022	CH_60,question_option_C_translated,40,49
2022,CH,60,2022	CH_60,question_option_D_translated,53,61
2022,CH,60,2022	CH_60,question_option_E_translated,29,34
2022,CH,71,2022	CH_71,question_text_translated,354,443
2022,CH,71,2022	CH_71,question_itself_translated,79,96
2022,CH,71,2022	CH_71,question_option_A_translated,49,55
2022,CH,71,2022	CH_71,question_option_B_translated,45,53
2022,CH,71,2022	CH_71,question_option_C_translated,43,49
2022,CH,71,2022	CH_71,question_option_D_translated,39,44
2022,CH,71,2022	CH_71,question_option_E_translated,42,49
